"","player","count","innings","bm4","totalwickets","bm5","X","Economy","Wicket.Taking.Ability","Consistency"
"309","Sohail Tanvir",2,11,0.181818181818182,24,2.44444444444444,140,6.22641509433962,11.0416666666667,11.4583333333333
"13","A Zampa",1,11,0.0909090909090909,19,1.8,157,7.49333333333333,11.8421052631579,14.7894736842105
"81","CRD Fernando",1,10,0.1,19,2,147,7.37349397590361,13.1052631578947,16.1052631578947
"191","MF Maharoof",1,20,0.05,33,1.68421052631579,95,7.23809523809524,13.3636363636364,16.1212121212121
"343","WPUJC Vaas",0,13,0,22,1.69230769230769,129,7.58333333333333,13.0909090909091,16.5454545454545
"88","DE Bollinger",2,27,0.0740740740740741,43,1.64,80,7.16,13.953488372093,16.6511627906977
"63","BJ Hodge",1,20,0.05,18,0.894736842105263,153,7.81512605042017,13.2222222222222,17.2222222222222
"303","SL Malinga",9,110,0.0818181818181818,170,1.59405940594059,2,6.75723830734967,15.8470588235294,17.8470588235294
"187","MA Starc",2,26,0.0769230769230769,39,1.54166666666667,77,7.1078431372549,15.6923076923077,18.5897435897436
"240","R Rampaul",0,12,0,17,1.41666666666667,133,6.88489208633094,16.3529411764706,18.7647058823529
"20","AB McDonald",1,10,0.1,14,1.44444444444444,180,8.3936170212766,13.4285714285714,18.7857142857143
"216","NM Coulter-Nile",1,25,0.04,39,1.58333333333333,81,7.56655290102389,15.025641025641,18.9487179487179
"310","SP Narine",8,81,0.0987654320987654,109,1.38356164383562,16,6.39570552147239,17.9449541284404,19.1284403669725
"25","AD Mascarenhas",1,13,0.0769230769230769,19,1.5,124,7.06451612903226,16.3157894736842,19.2105263157895
"74","CJ Jordan",1,10,0.1,14,1.44444444444444,179,8.80851063829787,13.4285714285714,19.7142857142857
"125","Imran Tahir",3,32,0.09375,50,1.62068965517241,66,8.19073569482289,14.68,20.04
"249","Rashid Khan",0,14,0,18,1.28571428571429,115,6.73170731707317,18.2222222222222,20.4444444444444
"89","DJ Bravo",2,103,0.0194174757281553,137,1.33663366336634,10,8.00473933649289,15.4014598540146,20.5474452554745
"51","B Kumar",3,90,0.0333333333333333,117,1.31034482758621,11,7.03992210321324,17.5555555555556,20.5982905982906
"251","RE van der Merwe",0,21,0,25,1.19047619047619,93,6.79120879120879,18.2,20.6
"10","A Singh",1,23,0.0434782608695652,31,1.36363636363636,90,7.88888888888889,15.6774193548387,20.6129032258065
"352","YA Abdulla",2,11,0.181818181818182,15,1.44444444444444,160,8.40540540540541,14.8,20.7333333333333
"8","A Nehra",3,88,0.0340909090909091,121,1.38823529411765,13,7.7112462006079,16.3140495867769,20.9669421487603
"207","MR Marsh",1,18,0.0555555555555556,20,1.11764705882353,117,7.70642201834862,16.35,21
"341","Washington Sundar",0,10,0,9,0.9,184,6.23076923076923,20.2222222222222,21
"1","A Ashish Reddy",0,20,0,19,0.95,138,8.88888888888889,14.2105263157895,21.0526315789474
"72","CH Morris",2,48,0.0416666666666667,62,1.30434782608696,44,7.52591170825336,16.8064516129032,21.0806451612903
"198","MM Patel",4,63,0.0634920634920635,82,1.32203389830508,30,7.52387843704776,16.8536585365854,21.1341463414634
"284","Sandeep Sharma",2,56,0.0357142857142857,76,1.37037037037037,34,7.6496465043205,16.75,21.3552631578947
"99","DP Nannes",1,29,0.0344827586206897,38,1.32142857142857,71,7.09724238026125,18.1315789473684,21.4473684210526
"66","BW Hilfenhaus",0,17,0,23,1.35294117647059,101,7.64615384615385,16.9565217391304,21.6086956521739
"80","CR Woakes",0,13,0,18,1.38461538461538,134,8.48201438848921,15.4444444444444,21.8333333333333
"161","KK Cooper",1,25,0.04,36,1.45833333333333,79,7.89,16.6666666666667,21.9166666666667
"266","S Aravind",2,38,0.0526315789473684,48,1.27777777777778,62,8.04822335025381,16.4166666666667,22.0208333333333
"135","JD Unadkat",3,46,0.0652173913043478,60,1.32558139534884,45,8.00804020100503,16.5833333333333,22.1333333333333
"354","YS Chahal",1,55,0.0181818181818182,72,1.31481481481481,36,7.87530762920427,16.9305555555556,22.2222222222222
"5","A Kumble",4,42,0.0952380952380952,49,1.18421052631579,46,6.646998982706,20.0612244897959,22.2244897959184
"2","A Chandila",1,12,0.0833333333333333,11,0.909090909090909,155,6.28205128205128,21.2727272727273,22.2727272727273
"167","KW Richardson",1,14,0.0714285714285714,20,1.46153846153846,118,8.28220858895705,16.3,22.5
"47","Azhar Mahmood",0,23,0,31,1.34782608695652,85,7.68478260869565,17.8064516129032,22.8064516129032
"199","MM Sharma",2,75,0.0266666666666667,91,1.21917808219178,27,8,17.2087912087912,22.9450549450549
"254","RJ Harris",1,37,0.027027027027027,47,1.27777777777778,58,7.52601156069364,18.4042553191489,23.0851063829787
"262","RS Bopara",0,14,0,13,0.928571428571429,164,8.47887323943662,16.3846153846154,23.1538461538462
"235","R Ashwin",2,108,0.0185185185185185,110,1.0188679245283,5,6.49088596863078,21.4454545454545,23.2
"348","VY Mahesh",1,17,0.0588235294117647,22,1.3125,109,8.54038997214485,16.3181818181818,23.2272727272727
"6","A Mishra",5,126,0.0396825396825397,142,1.13223140495868,1,7.33629300776915,19.0352112676056,23.2746478873239
"56","BA Stokes",0,12,0,14,1.16666666666667,136,7.16058394160584,19.5714285714286,23.3571428571429
"294","Shakib Al Hasan",0,42,0,48,1.14285714285714,48,7.11510031678986,19.7291666666667,23.3958333333333
"109","GB Hogg",1,21,0.0476190476190476,25,1.2,92,7.53218884120172,18.64,23.4
"166","Kuldeep Yadav",0,14,0,19,1.35714285714286,120,8.27777777777778,17.0526315789474,23.5263157894737
"342","WD Parnell",1,26,0.0384615384615385,31,1.2,78,7.29783693843594,19.3870967741935,23.5806451612903
"220","P Negi",1,36,0.0277777777777778,34,0.942857142857143,76,7.53051643192488,18.7941176470588,23.5882352941176
"306","SM Pollock",1,13,0.0769230769230769,13,1,131,6.57857142857143,21.5384615384615,23.6153846153846
"102","DS Kulkarni",1,72,0.0138888888888889,81,1.12676056338028,29,7.74949494949495,18.3333333333333,23.679012345679
"104","DW Steyn",0,90,0,100,1.11111111111111,8,6.60027790643817,21.59,23.75
"117","Harmeet Singh",0,27,0,30,1.11111111111111,86,7.79234972677596,18.3,23.7666666666667
"192","MG Johnson",1,48,0.0208333333333333,64,1.34042553191489,38,7.81849315068493,18.25,23.78125
"245","R Vinay Kumar",3,102,0.0294117647058824,125,1.23232323232323,7,8.26284127718649,17.288,23.808
"130","J Theron",1,10,0.1,13,1.33333333333333,154,7.94042553191489,18.0769230769231,23.9230769230769
"356","Z Khan",3,99,0.0303030303030303,119,1.20833333333333,6,7.53954305799649,19.1260504201681,24.0336134453782
"85","D Wiese",1,14,0.0714285714285714,17,1.23076923076923,128,8.49134948096886,17,24.0588235294118
"257","RP Singh",4,82,0.0487804878048781,100,1.23076923076923,18,7.73852721451441,18.74,24.17
"196","MJ McClenaghan",2,40,0.05,56,1.42105263157895,47,8.28513238289206,17.5357142857143,24.2142857142857
"164","KP Pietersen",0,13,0,9,0.692307692307692,187,7.26666666666667,20,24.2222222222222
"233","PP Ojha",1,90,0.0111111111111111,99,1.10112359550562,17,7.40051413881748,19.6464646464646,24.2323232323232
"209","Mustafizur Rahman",0,17,0,19,1.11764705882353,100,7.0381679389313,20.6842105263158,24.2631578947368
"182","M Morkel",3,70,0.0428571428571429,88,1.26865671641791,22,7.54326074161271,19.3068181818182,24.2727272727273
"218","P Awana",1,33,0.0303030303030303,43,1.3125,64,8.10852713178295,18,24.3255813953488
"147","JP Faulkner",5,60,0.0833333333333333,76,1.29090909090909,31,8.62004662004662,16.9342105263158,24.3289473684211
"302","SK Warne",1,54,0.0185185185185185,60,1.11320754716981,35,7.18724448078495,20.3833333333333,24.4166666666667
"170","L Balaji",4,73,0.0547945205479452,85,1.17391304347826,26,7.94027954256671,18.5176470588235,24.5058823529412
"317","ST Jayasuriya",1,21,0.0476190476190476,16,0.75,127,7.8936877076412,18.8125,24.75
"313","SR Watson",2,94,0.0212765957446809,100,1.06521739130435,15,7.6185619581846,19.61,24.9
"232","PP Chawla",3,128,0.0234375,133,1.04,4,7.66769468003084,19.5037593984962,24.9248120300752
"126","Iqbal Abdulla",0,48,0,45,0.9375,50,7.15800636267232,20.9555555555556,25
"139","JEC Franklin",0,15,0,9,0.6,197,8.70967741935484,17.2222222222222,25
