"","Chennai Super Kings","Delhi Daredevils","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1","AT Rayudu","A Mishra","AD Nath","AD Russell","A Dananjaya","AM Rahane","AB de Villiers","A Hales"
"2","D Shorey","Ankit Sharma","AJ Finch","CA Lynn","AS Yadav","Ankit Sharma","BB McCullum","B Kumar"
"3","D Willey","Avesh Khan","AJ Tye","J Searles","BCJ Cutting","Anureet Singh","C de Grandhomme","B Stanlake"
"4","DJ Bravo","C Munro","AR Patel","KD Karthik","E Lewis","B Laughlin","CJ Anderson","Basil Thampi"
"5","DL Chahar","CH Morris","AS Rajpoot","Kuldeep Yadav","HH Pandya","BA Stokes","CR Woakes","CJ Jordan"
"6","F du Plessis","DT Christian","BB Sran","MG Johnson","Ishan Kishan","D Short","K Khejroliya","CR Brathwaite"
"7","Harbhajan Singh","G Gambhir","CH Gayle","N Rana","JJ Bumrah","DS Kulkarni","M Ali","DJ Hooda"
"8","Imran Tahir","GJ Maxwell","DA Miller","P Krishna","JP Duminy","H Klaasen","M Ashwin","K Ahmed"
"9","KM Asif","HV Patel","KK Nair","PP Chawla","KA Pollard","I Sodhi","M Vohra","KS Williamson"
"10","KM Jadhav","J Dala","KL Rahul","R Singh","KH Pandya","J Archer","Mandeep Singh","MK Pandey"
"11","KV Sharma","JJ Roy","M Ur Rahman","R Vinay Kumar","M Markande","JC Buttler","Mohammed Siraj","Mohammad Nabi"
"12","L Ngidi","L Plunkett","MA Agarwal","RV Uthappa","MJ McClenaghan","JD Unadkat","P Negi","R Bhui"
"13","M Vijay","Mohammed Shami","MK Tiwary","S Gill","Mustafizur Rahman","K Gowtham","PA Patel","Rashid Khan"
"14","M Wood","NV Ojha","MM Sharma","S Mavi","PJ Sangwan","M Lomror","Q de Kock","S Dhawan"
"15","MS Dhoni","P Shaw","MP Stoinis","SP Narine","RG Sharma","P Chopra","SN Khan","S Kaul"
"16","RA Jadeja","R Tewatia","R Ashwin","T Curran","0","RA Tripathi","TG Southee","Sandeep Sharma"
"17","SK Raina","RR Pant","Yuvraj Singh","0","0","S Gopal","UT Yadav","Shakib Al Hasan"
"18","SN Thakur","S Lamichhane","0","0","0","STR Binny","V Kohli","SP Goswami"
"19","SR Watson","S Nadeem","0","0","0","SV Samson","Washington Sundar","WP Saha"
"20","SW Billings","SS Iyer","0","0","0","0","YS Chahal","YK Pathan"
"21","0","TA Boult","0","0","0","0","0","0"
"22","0","V Shankar","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0"
"35","0","0","0","0","0","0","0","0"
